format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.000,0.011,0.011,0.011,0.033,0.066,1.000
t02,0.162,0.252,0.345,0.603,0.719,1.000,1.000
t03,0.000,0.024,0.024,0.048,0.238,0.595,1.000
t04,0.024,0.024,0.024,0.071,0.357,0.667,1.000
t05,0.000,0.000,0.024,0.024,0.071,0.476,1.000
t06,0.000,0.000,0.024,0.024,0.048,0.595,1.000
t07,0.024,0.024,0.048,0.167,0.429,0.643,1.000
t08,0.000,0.000,0.071,0.095,0.381,0.571,1.000
t09,0.000,0.024,0.024,0.095,0.190,0.452,1.000
t10,0.000,0.000,0.048,0.119,0.333,0.738,1.000
t11,0.000,0.024,0.024,0.048,0.238,0.571,1.000
t12,0.000,0.000,0.024,0.119,0.310,0.762,1.000
t13,0.000,0.024,0.024,0.024,0.071,0.214,1.000
t14,0.000,0.024,0.095,0.143,0.405,0.643,1.000
t15,0.000,0.024,0.024,0.048,0.214,0.548,1.000
t16,0.000,0.000,0.000,0.167,0.357,0.738,1.000
t17,0.000,0.024,0.024,0.024,0.071,0.190,1.000
t18,0.000,0.024,0.048,0.048,0.238,0.429,1.000
t19,0.000,0.024,0.024,0.095,0.238,0.595,1.000
t20,0.000,0.071,0.167,0.167,0.167,0.238,1.000
t21,0.000,0.071,0.095,0.286,0.524,0.738,1.000
t22,0.000,0.000,0.024,0.048,0.238,0.643,1.000
t23,0.000,0.024,0.048,0.095,0.238,0.595,1.000
t24,0.000,0.024,0.024,0.048,0.190,0.548,1.000
t25,0.000,0.024,0.048,0.071,0.286,0.714,1.000
t26,0.000,0.000,0.095,0.143,0.214,0.405,1.000
t27,0.000,0.024,0.024,0.095,0.333,0.476,1.000
t28,0.000,0.000,0.024,0.143,0.214,0.667,1.000
t29,0.024,0.024,0.095,0.167,0.405,0.548,1.000
t30,0.000,0.024,0.238,0.238,0.262,0.595,1.000
t31,0.000,0.024,0.024,0.071,0.190,0.429,1.000
t32,0.000,0.024,0.095,0.095,0.286,0.571,1.000
t33,0.000,0.024,0.024,0.048,0.214,0.524,1.000
test,10,20,50,100,200,500,1000
t01,0.000,0.050,0.020,0.010,0.015,0.012,0.091
t02,0.900,0.700,0.384,0.335,0.200,0.111,0.056
t03,0.000,0.050,0.020,0.020,0.050,0.050,0.042
t04,0.100,0.050,0.020,0.030,0.075,0.056,0.042
t05,0.000,0.000,0.020,0.010,0.015,0.040,0.042
t06,0.000,0.000,0.020,0.010,0.010,0.050,0.042
t07,0.100,0.050,0.040,0.070,0.090,0.054,0.042
t08,0.000,0.000,0.060,0.040,0.080,0.048,0.042
t09,0.000,0.050,0.020,0.040,0.040,0.038,0.042
t10,0.000,0.000,0.040,0.050,0.070,0.062,0.042
t11,0.000,0.050,0.020,0.020,0.050,0.048,0.042
t12,0.000,0.000,0.020,0.050,0.065,0.064,0.042
t13,0.000,0.050,0.020,0.010,0.015,0.018,0.042
t14,0.000,0.050,0.080,0.060,0.085,0.054,0.042
t15,0.000,0.050,0.020,0.020,0.045,0.046,0.042
t16,0.000,0.000,0.000,0.070,0.075,0.062,0.042
t17,0.000,0.050,0.020,0.010,0.015,0.016,0.042
t18,0.000,0.050,0.040,0.020,0.050,0.036,0.042
t19,0.000,0.050,0.020,0.040,0.050,0.050,0.042
t20,0.000,0.150,0.140,0.070,0.035,0.020,0.042
t21,0.000,0.150,0.080,0.120,0.110,0.062,0.042
t22,0.000,0.000,0.020,0.020,0.050,0.054,0.042
t23,0.000,0.050,0.040,0.040,0.050,0.050,0.042
t24,0.000,0.050,0.020,0.020,0.040,0.046,0.042
t25,0.000,0.050,0.040,0.030,0.060,0.060,0.042
t26,0.000,0.000,0.080,0.060,0.045,0.034,0.042
t27,0.000,0.050,0.020,0.040,0.070,0.040,0.042
t28,0.000,0.000,0.020,0.060,0.045,0.056,0.042
t29,0.100,0.050,0.080,0.070,0.085,0.046,0.042
t30,0.000,0.050,0.200,0.100,0.055,0.050,0.042
t31,0.000,0.050,0.020,0.030,0.040,0.036,0.042
t32,0.000,0.050,0.080,0.040,0.060,0.048,0.042
t33,0.000,0.050,0.020,0.020,0.045,0.044,0.042
test,10,20,50,100,200,500,1000
t01,0.000,0.018,0.014,0.010,0.021,0.020,0.167
t02,0.274,0.370,0.364,0.431,0.313,0.200,0.105
t03,0.000,0.032,0.022,0.028,0.083,0.092,0.081
t04,0.038,0.032,0.022,0.042,0.124,0.103,0.081
t05,0.000,0.000,0.022,0.014,0.025,0.074,0.081
t06,0.000,0.000,0.022,0.014,0.017,0.092,0.081
t07,0.038,0.032,0.043,0.099,0.149,0.100,0.081
t08,0.000,0.000,0.065,0.056,0.132,0.089,0.081
t09,0.000,0.032,0.022,0.056,0.066,0.070,0.081
t10,0.000,0.000,0.043,0.070,0.116,0.114,0.081
t11,0.000,0.032,0.022,0.028,0.083,0.089,0.081
t12,0.000,0.000,0.022,0.070,0.107,0.118,0.081
t13,0.000,0.032,0.022,0.014,0.025,0.033,0.081
t14,0.000,0.032,0.087,0.085,0.140,0.100,0.081
t15,0.000,0.032,0.022,0.028,0.074,0.085,0.081
t16,0.000,0.000,0.000,0.099,0.124,0.114,0.081
t17,0.000,0.032,0.022,0.014,0.025,0.030,0.081
t18,0.000,0.032,0.043,0.028,0.083,0.066,0.081
t19,0.000,0.032,0.022,0.056,0.083,0.092,0.081
t20,0.000,0.097,0.152,0.099,0.058,0.037,0.081
t21,0.000,0.097,0.087,0.169,0.182,0.114,0.081
t22,0.000,0.000,0.022,0.028,0.083,0.100,0.081
t23,0.000,0.032,0.043,0.056,0.083,0.092,0.081
t24,0.000,0.032,0.022,0.028,0.066,0.085,0.081
t25,0.000,0.032,0.043,0.042,0.099,0.111,0.081
t26,0.000,0.000,0.087,0.085,0.074,0.063,0.081
t27,0.000,0.032,0.022,0.056,0.116,0.074,0.081
t28,0.000,0.000,0.022,0.085,0.074,0.103,0.081
t29,0.038,0.032,0.087,0.099,0.140,0.085,0.081
t30,0.000,0.032,0.217,0.141,0.091,0.092,0.081
t31,0.000,0.032,0.022,0.042,0.066,0.066,0.081
t32,0.000,0.032,0.087,0.056,0.099,0.089,0.081
t33,0.000,0.032,0.022,0.028,0.074,0.081,0.081
