format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.000,0.000,0.000,0.091,0.091,0.091,1.000
t02,0.022,0.022,0.144,0.232,0.324,0.669,1.000
t03,0.000,0.000,0.000,0.087,0.087,0.391,1.000
t04,0.000,0.000,0.000,0.000,0.174,0.522,1.000
t05,0.000,0.000,0.000,0.000,0.000,0.522,1.000
t06,0.000,0.000,0.000,0.000,0.000,0.391,1.000
t07,0.000,0.000,0.087,0.087,0.391,0.435,1.000
t08,0.000,0.000,0.000,0.304,0.391,0.391,1.000
t09,0.000,0.000,0.000,0.087,0.087,0.087,1.000
t10,0.000,0.000,0.000,0.087,0.391,0.739,1.000
t11,0.000,0.000,0.000,0.043,0.087,0.391,1.000
t12,0.000,0.000,0.000,0.000,0.217,0.870,1.000
t13,0.000,0.000,0.000,0.043,0.043,0.130,1.000
t14,0.000,0.000,0.043,0.391,0.391,0.522,1.000
t15,0.000,0.000,0.000,0.087,0.087,0.391,1.000
t16,0.000,0.000,0.000,0.000,0.304,0.870,1.000
t17,0.000,0.000,0.043,0.043,0.043,0.043,1.000
t18,0.000,0.000,0.000,0.000,0.087,0.130,1.000
t19,0.000,0.000,0.043,0.087,0.304,0.435,1.000
t20,0.000,0.304,0.304,0.304,0.304,0.304,1.000
t21,0.000,0.000,0.087,0.087,0.087,0.652,1.000
t22,0.000,0.000,0.000,0.000,0.043,0.435,1.000
t23,0.000,0.000,0.043,0.087,0.087,0.391,1.000
t24,0.000,0.000,0.000,0.087,0.304,0.391,1.000
t25,0.000,0.000,0.000,0.087,0.087,0.391,1.000
t26,0.000,0.000,0.043,0.043,0.043,0.391,1.000
t27,0.000,0.000,0.043,0.043,0.261,0.435,1.000
t28,0.000,0.000,0.043,0.043,0.174,0.652,1.000
t29,0.000,0.000,0.043,0.043,0.348,0.652,1.000
t30,0.000,0.000,0.304,0.348,0.435,0.522,1.000
t31,0.000,0.000,0.000,0.087,0.087,0.087,1.000
t32,0.000,0.000,0.087,0.174,0.217,0.522,1.000
t33,0.000,0.000,0.000,0.087,0.087,0.391,1.000
test,10,20,50,100,200,500,1000
t01,0.000,0.000,0.000,0.020,0.010,0.004,0.022
t02,0.100,0.050,0.130,0.105,0.073,0.060,0.045
t03,0.000,0.000,0.000,0.020,0.010,0.018,0.023
t04,0.000,0.000,0.000,0.000,0.020,0.024,0.023
t05,0.000,0.000,0.000,0.000,0.000,0.024,0.023
t06,0.000,0.000,0.000,0.000,0.000,0.018,0.023
t07,0.000,0.000,0.040,0.020,0.045,0.020,0.023
t08,0.000,0.000,0.000,0.070,0.045,0.018,0.023
t09,0.000,0.000,0.000,0.020,0.010,0.004,0.023
t10,0.000,0.000,0.000,0.020,0.045,0.034,0.023
t11,0.000,0.000,0.000,0.010,0.010,0.018,0.023
t12,0.000,0.000,0.000,0.000,0.025,0.040,0.023
t13,0.000,0.000,0.000,0.010,0.005,0.006,0.023
t14,0.000,0.000,0.020,0.090,0.045,0.024,0.023
t15,0.000,0.000,0.000,0.020,0.010,0.018,0.023
t16,0.000,0.000,0.000,0.000,0.035,0.040,0.023
t17,0.000,0.000,0.020,0.010,0.005,0.002,0.023
t18,0.000,0.000,0.000,0.000,0.010,0.006,0.023
t19,0.000,0.000,0.020,0.020,0.035,0.020,0.023
t20,0.000,0.350,0.140,0.070,0.035,0.014,0.023
t21,0.000,0.000,0.040,0.020,0.010,0.030,0.023
t22,0.000,0.000,0.000,0.000,0.005,0.020,0.023
t23,0.000,0.000,0.020,0.020,0.010,0.018,0.023
t24,0.000,0.000,0.000,0.020,0.035,0.018,0.023
t25,0.000,0.000,0.000,0.020,0.010,0.018,0.023
t26,0.000,0.000,0.020,0.010,0.005,0.018,0.023
t27,0.000,0.000,0.020,0.010,0.030,0.020,0.023
t28,0.000,0.000,0.020,0.010,0.020,0.030,0.023
t29,0.000,0.000,0.020,0.010,0.040,0.030,0.023
t30,0.000,0.000,0.140,0.080,0.050,0.024,0.023
t31,0.000,0.000,0.000,0.020,0.010,0.004,0.023
t32,0.000,0.000,0.040,0.040,0.025,0.024,0.023
t33,0.000,0.000,0.000,0.020,0.010,0.018,0.023
test,10,20,50,100,200,500,1000
t01,0.000,0.000,0.000,0.033,0.018,0.008,0.043
t02,0.036,0.031,0.136,0.145,0.120,0.111,0.087
t03,0.000,0.000,0.000,0.033,0.018,0.034,0.045
t04,0.000,0.000,0.000,0.000,0.036,0.046,0.045
t05,0.000,0.000,0.000,0.000,0.000,0.046,0.045
t06,0.000,0.000,0.000,0.000,0.000,0.034,0.045
t07,0.000,0.000,0.055,0.033,0.081,0.038,0.045
t08,0.000,0.000,0.000,0.114,0.081,0.034,0.045
t09,0.000,0.000,0.000,0.033,0.018,0.008,0.045
t10,0.000,0.000,0.000,0.033,0.081,0.065,0.045
t11,0.000,0.000,0.000,0.016,0.018,0.034,0.045
t12,0.000,0.000,0.000,0.000,0.045,0.076,0.045
t13,0.000,0.000,0.000,0.016,0.009,0.011,0.045
t14,0.000,0.000,0.027,0.146,0.081,0.046,0.045
t15,0.000,0.000,0.000,0.033,0.018,0.034,0.045
t16,0.000,0.000,0.000,0.000,0.063,0.076,0.045
t17,0.000,0.000,0.027,0.016,0.009,0.004,0.045
t18,0.000,0.000,0.000,0.000,0.018,0.011,0.045
t19,0.000,0.000,0.027,0.033,0.063,0.038,0.045
t20,0.000,0.326,0.192,0.114,0.063,0.027,0.045
t21,0.000,0.000,0.055,0.033,0.018,0.057,0.045
t22,0.000,0.000,0.000,0.000,0.009,0.038,0.045
t23,0.000,0.000,0.027,0.033,0.018,0.034,0.045
t24,0.000,0.000,0.000,0.033,0.063,0.034,0.045
t25,0.000,0.000,0.000,0.033,0.018,0.034,0.045
t26,0.000,0.000,0.027,0.016,0.009,0.034,0.045
t27,0.000,0.000,0.027,0.016,0.054,0.038,0.045
t28,0.000,0.000,0.027,0.016,0.036,0.057,0.045
t29,0.000,0.000,0.027,0.016,0.072,0.057,0.045
t30,0.000,0.000,0.192,0.130,0.090,0.046,0.045
t31,0.000,0.000,0.000,0.033,0.018,0.008,0.045
t32,0.000,0.000,0.055,0.065,0.045,0.046,0.045
t33,0.000,0.000,0.000,0.033,0.018,0.034,0.045
