format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.036,0.043,0.050,0.050,0.057,0.640,1.000
t02,0.059,0.138,0.217,0.322,0.589,0.891,1.000
t03,0.036,0.078,0.100,0.100,0.121,0.999,1.000
t04,0.014,0.028,0.043,0.093,0.171,0.588,1.000
t05,0.000,0.014,0.021,0.043,0.121,0.532,1.000
t06,0.007,0.021,0.021,0.078,0.107,0.987,1.000
t07,0.036,0.071,0.093,0.093,0.149,0.857,1.000
t08,0.000,0.014,0.064,0.100,0.100,0.769,1.000
t09,0.043,0.071,0.085,0.085,0.114,0.846,1.000
t10,0.021,0.050,0.078,0.093,0.128,0.673,1.000
t11,0.036,0.057,0.100,0.100,0.121,0.835,1.000
t12,0.000,0.000,0.021,0.157,0.302,0.694,1.000
t13,0.028,0.050,0.057,0.057,0.071,0.549,1.000
t14,0.028,0.064,0.100,0.100,0.128,0.757,1.000
t15,0.036,0.071,0.100,0.100,0.114,0.861,1.000
t16,0.000,0.000,0.036,0.085,0.185,0.625,1.000
t17,0.028,0.043,0.050,0.050,0.064,0.598,1.000
t18,0.036,0.071,0.100,0.107,0.114,0.746,1.000
t19,0.036,0.064,0.100,0.100,0.121,0.712,1.000
t20,0.000,0.043,0.050,0.064,0.085,0.322,1.000
t21,0.036,0.064,0.107,0.164,0.430,0.857,1.000
t22,0.028,0.064,0.100,0.107,0.121,0.729,1.000
t23,0.036,0.064,0.100,0.100,0.114,0.777,1.000
t24,0.036,0.078,0.100,0.100,0.107,0.710,1.000
t25,0.036,0.057,0.100,0.100,0.121,0.870,1.000
t26,0.028,0.043,0.043,0.085,0.455,0.502,1.000
t27,0.028,0.057,0.071,0.071,0.142,0.668,1.000
t28,0.028,0.043,0.043,0.078,0.697,0.698,1.000
t29,0.028,0.057,0.064,0.114,0.398,0.443,1.000
t30,0.028,0.043,0.085,0.356,0.398,0.562,1.000
t31,0.036,0.064,0.085,0.085,0.107,0.646,1.000
t32,0.021,0.057,0.270,0.413,0.327,0.983,1.000
t33,0.036,0.078,0.093,0.093,0.114,0.659,1.000
test,10,20,50,100,200,500,1000
t01,0.500,0.300,0.140,0.070,0.040,0.180,0.177
t02,0.600,0.700,0.440,0.328,0.299,0.181,0.102
t03,0.500,0.550,0.280,0.140,0.085,0.281,0.177
t04,0.200,0.200,0.120,0.130,0.120,0.165,0.177
t05,0.000,0.100,0.060,0.060,0.085,0.150,0.177
t06,0.100,0.150,0.060,0.110,0.075,0.277,0.177
t07,0.500,0.500,0.260,0.130,0.105,0.241,0.177
t08,0.000,0.100,0.180,0.140,0.070,0.216,0.177
t09,0.600,0.500,0.240,0.120,0.080,0.238,0.177
t10,0.300,0.350,0.220,0.130,0.090,0.189,0.177
t11,0.500,0.400,0.280,0.140,0.085,0.235,0.177
t12,0.000,0.000,0.060,0.220,0.212,0.195,0.177
t13,0.400,0.350,0.160,0.080,0.050,0.154,0.177
t14,0.400,0.450,0.280,0.140,0.090,0.213,0.177
t15,0.500,0.500,0.280,0.140,0.080,0.242,0.177
t16,0.000,0.000,0.100,0.120,0.130,0.176,0.177
t17,0.400,0.300,0.140,0.070,0.045,0.168,0.177
t18,0.500,0.500,0.280,0.150,0.080,0.210,0.177
t19,0.500,0.450,0.280,0.140,0.085,0.200,0.177
t20,0.000,0.300,0.140,0.090,0.060,0.090,0.177
t21,0.500,0.450,0.300,0.230,0.302,0.241,0.177
t22,0.400,0.450,0.280,0.150,0.085,0.205,0.177
t23,0.500,0.450,0.280,0.140,0.080,0.218,0.177
t24,0.500,0.550,0.280,0.140,0.075,0.200,0.177
t25,0.500,0.400,0.280,0.140,0.085,0.245,0.177
t26,0.400,0.300,0.120,0.120,0.320,0.141,0.177
t27,0.400,0.400,0.200,0.100,0.100,0.188,0.177
t28,0.400,0.300,0.120,0.110,0.490,0.196,0.177
t29,0.400,0.400,0.180,0.160,0.280,0.124,0.177
t30,0.400,0.300,0.240,0.500,0.280,0.158,0.177
t31,0.500,0.450,0.240,0.120,0.075,0.182,0.177
t32,0.300,0.400,0.760,0.580,0.230,0.276,0.177
t33,0.500,0.550,0.260,0.130,0.080,0.185,0.177
test,10,20,50,100,200,500,1000
t01,0.066,0.075,0.073,0.058,0.047,0.281,0.300
t02,0.108,0.230,0.290,0.325,0.397,0.301,0.184
t03,0.066,0.137,0.147,0.116,0.100,0.438,0.300
t04,0.027,0.050,0.063,0.108,0.141,0.258,0.300
t05,0.000,0.025,0.031,0.050,0.100,0.234,0.300
t06,0.013,0.037,0.031,0.091,0.088,0.433,0.300
t07,0.066,0.125,0.136,0.108,0.123,0.376,0.300
t08,0.000,0.025,0.094,0.116,0.082,0.338,0.300
t09,0.080,0.125,0.126,0.100,0.094,0.371,0.300
t10,0.040,0.087,0.115,0.108,0.106,0.295,0.300
t11,0.066,0.100,0.147,0.116,0.100,0.366,0.300
t12,0.000,0.000,0.031,0.183,0.250,0.304,0.300
t13,0.053,0.087,0.084,0.067,0.059,0.241,0.300
t14,0.053,0.112,0.147,0.116,0.106,0.332,0.300
t15,0.066,0.125,0.147,0.116,0.094,0.378,0.300
t16,0.000,0.000,0.052,0.100,0.153,0.274,0.300
t17,0.053,0.075,0.073,0.058,0.053,0.262,0.300
t18,0.066,0.125,0.147,0.125,0.094,0.327,0.300
t19,0.066,0.112,0.147,0.116,0.100,0.312,0.300
t20,0.000,0.075,0.073,0.075,0.070,0.141,0.300
t21,0.066,0.112,0.157,0.191,0.355,0.376,0.300
t22,0.053,0.112,0.147,0.125,0.100,0.320,0.300
t23,0.066,0.112,0.147,0.116,0.094,0.341,0.300
t24,0.066,0.137,0.147,0.116,0.088,0.311,0.300
t25,0.066,0.100,0.147,0.116,0.100,0.382,0.300
t26,0.053,0.075,0.063,0.100,0.376,0.220,0.300
t27,0.053,0.100,0.105,0.083,0.117,0.293,0.300
t28,0.053,0.075,0.063,0.091,0.576,0.306,0.300
t29,0.053,0.100,0.094,0.133,0.329,0.194,0.300
t30,0.053,0.075,0.126,0.416,0.329,0.247,0.300
t31,0.066,0.112,0.126,0.100,0.088,0.284,0.300
t32,0.040,0.100,0.399,0.482,0.270,0.431,0.300
t33,0.066,0.137,0.136,0.108,0.094,0.289,0.300
