format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,nan,nan
t02,0.500,0.500,1.000,1.000,1.000
t03,nan,nan
t04,nan,nan
t05,nan,nan
t06,nan,nan
t07,nan,nan
t08,nan,nan
t09,nan,nan
t10,nan,nan
t11,nan,nan
t12,nan,nan
t13,nan,nan
t14,nan,nan
t15,nan,nan
t16,nan,nan
t17,nan,nan
t18,nan,nan
t19,nan,nan
t20,nan,nan
t21,nan,nan
t22,nan,nan
t23,nan,nan
t24,nan,nan
t25,nan,nan
t26,nan,nan
t27,nan,nan
t28,nan,nan
t29,nan,nan
t30,nan,nan
t31,nan,nan
t32,nan,nan
t33,nan,nan
test,10,20,50,100,200,500,1000
t01,0.000,0.000
t02,0.200,0.100,0.080,0.040,0.034
t03,0.000,0.000
t04,0.000,0.000
t05,0.000,0.000
t06,0.000,0.000
t07,0.000,0.000
t08,0.000,0.000
t09,0.000,0.000
t10,0.000,0.000
t11,0.000,0.000
t12,0.000,0.000
t13,0.000,0.000
t14,0.000,0.000
t15,0.000,0.000
t16,0.000,0.000
t17,0.000,0.000
t18,0.000,0.000
t19,0.000,0.000
t20,0.000,0.000
t21,0.000,0.000
t22,0.000,0.000
t23,0.000,0.000
t24,0.000,0.000
t25,0.000,0.000
t26,0.000,0.000
t27,0.000,0.000
t28,0.000,0.000
t29,0.000,0.000
t30,0.000,0.000
t31,0.000,0.000
t32,0.000,0.000
t33,0.000,0.000
test,10,20,50,100,200,500,1000
t01,nan,nan
t02,0.286,0.167,0.148,0.077,0.066
t03,nan,nan
t04,nan,nan
t05,nan,nan
t06,nan,nan
t07,nan,nan
t08,nan,nan
t09,nan,nan
t10,nan,nan
t11,nan,nan
t12,nan,nan
t13,nan,nan
t14,nan,nan
t15,nan,nan
t16,nan,nan
t17,nan,nan
t18,nan,nan
t19,nan,nan
t20,nan,nan
t21,nan,nan
t22,nan,nan
t23,nan,nan
t24,nan,nan
t25,nan,nan
t26,nan,nan
t27,nan,nan
t28,nan,nan
t29,nan,nan
t30,nan,nan
t31,nan,nan
t32,nan,nan
t33,nan,nan
