format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.039,0.061,0.089,0.094,0.106,0.111,1.000
t02,0.032,0.032,0.032,0.127,0.175,0.777,1.000
t03,0.061,0.104,0.304,0.401,0.597,0.646,1.000
t04,0.009,0.009,0.035,0.043,0.408,0.859,1.000
t05,0.017,0.017,0.078,0.121,0.191,0.295,1.000
t06,0.000,0.000,0.017,0.078,0.126,0.672,1.000
t07,0.026,0.035,0.252,0.477,0.616,0.668,1.000
t08,0.035,0.069,0.243,0.328,0.555,0.646,1.000
t09,0.069,0.104,0.304,0.412,0.584,0.620,1.000
t10,0.000,0.009,0.009,0.035,0.234,0.445,1.000
t11,0.043,0.061,0.174,0.217,0.607,0.876,1.000
t12,0.000,0.026,0.087,0.338,0.477,0.629,1.000
t13,0.052,0.095,0.139,0.139,0.191,0.616,1.000
t14,0.017,0.017,0.104,0.182,0.295,0.614,1.000
t15,0.069,0.104,0.278,0.308,0.403,0.796,1.000
t16,0.009,0.035,0.078,0.182,0.422,0.629,1.000
t17,0.052,0.095,0.148,0.156,0.191,0.616,1.000
t18,0.043,0.069,0.121,0.200,0.278,0.902,1.000
t19,0.043,0.087,0.174,0.275,0.309,0.577,1.000
t20,0.000,0.000,0.000,0.104,0.156,0.512,1.000
t21,0.000,0.026,0.069,0.091,0.286,0.544,1.000
t22,0.052,0.078,0.165,0.191,0.321,0.868,1.000
t23,0.026,0.095,0.182,0.240,0.341,0.521,1.000
t24,0.017,0.026,0.087,0.130,0.286,0.423,1.000
t25,0.061,0.104,0.295,0.451,0.551,0.939,1.000
t26,0.017,0.130,0.243,0.338,0.347,0.816,1.000
t27,0.061,0.121,0.161,0.269,0.312,0.416,1.000
t28,0.026,0.069,0.148,0.174,0.182,0.707,1.000
t29,0.078,0.139,0.243,0.364,0.399,0.651,1.000
t30,0.026,0.052,0.104,0.104,0.523,0.640,1.000
t31,0.061,0.113,0.269,0.399,0.488,0.525,1.000
t32,0.035,0.061,0.234,0.386,0.594,0.646,1.000
t33,0.061,0.121,0.278,0.390,0.503,0.534,1.000
test,10,20,50,100,200,500,1000
t01,0.700,0.550,0.320,0.170,0.095,0.040,0.180
t02,0.200,0.100,0.040,0.080,0.055,0.098,0.063
t03,0.700,0.600,0.700,0.463,0.344,0.149,0.115
t04,0.100,0.050,0.080,0.050,0.235,0.198,0.115
t05,0.200,0.100,0.180,0.140,0.110,0.068,0.115
t06,0.000,0.000,0.040,0.090,0.072,0.155,0.115
t07,0.300,0.200,0.580,0.550,0.355,0.154,0.115
t08,0.400,0.400,0.560,0.378,0.320,0.149,0.115
t09,0.800,0.600,0.700,0.475,0.336,0.143,0.115
t10,0.000,0.050,0.020,0.040,0.135,0.103,0.115
t11,0.500,0.350,0.400,0.250,0.350,0.202,0.115
t12,0.000,0.150,0.200,0.390,0.275,0.145,0.115
t13,0.600,0.550,0.320,0.160,0.110,0.142,0.115
t14,0.200,0.100,0.240,0.210,0.170,0.141,0.115
t15,0.800,0.600,0.640,0.355,0.233,0.183,0.115
t16,0.100,0.200,0.180,0.210,0.243,0.145,0.115
t17,0.600,0.550,0.340,0.180,0.110,0.142,0.115
t18,0.500,0.400,0.280,0.230,0.160,0.208,0.115
t19,0.500,0.500,0.400,0.317,0.178,0.133,0.115
t20,0.000,0.000,0.000,0.120,0.090,0.118,0.115
t21,0.000,0.150,0.160,0.105,0.165,0.125,0.115
t22,0.600,0.450,0.380,0.220,0.185,0.200,0.115
t23,0.300,0.550,0.420,0.277,0.197,0.120,0.115
t24,0.200,0.150,0.200,0.150,0.165,0.098,0.115
t25,0.700,0.600,0.680,0.520,0.318,0.216,0.115
t26,0.200,0.750,0.560,0.390,0.200,0.188,0.115
t27,0.700,0.700,0.370,0.310,0.180,0.096,0.115
t28,0.300,0.400,0.340,0.200,0.105,0.163,0.115
t29,0.900,0.800,0.560,0.420,0.230,0.150,0.115
t30,0.300,0.300,0.240,0.120,0.301,0.147,0.115
t31,0.700,0.650,0.620,0.460,0.281,0.121,0.115
t32,0.400,0.350,0.540,0.445,0.343,0.149,0.115
t33,0.700,0.700,0.640,0.450,0.290,0.123,0.115
test,10,20,50,100,200,500,1000
t01,0.074,0.110,0.139,0.121,0.100,0.059,0.305
t02,0.055,0.048,0.035,0.098,0.084,0.173,0.118
t03,0.112,0.177,0.424,0.430,0.436,0.242,0.207
t04,0.016,0.015,0.048,0.046,0.298,0.322,0.207
t05,0.032,0.030,0.109,0.130,0.140,0.111,0.207
t06,0.000,0.000,0.024,0.084,0.092,0.252,0.207
t07,0.048,0.059,0.351,0.511,0.450,0.250,0.207
t08,0.064,0.118,0.339,0.351,0.406,0.242,0.207
t09,0.128,0.177,0.424,0.441,0.427,0.232,0.207
t10,0.000,0.015,0.012,0.037,0.171,0.167,0.207
t11,0.080,0.104,0.242,0.232,0.444,0.328,0.207
t12,0.000,0.044,0.121,0.362,0.349,0.236,0.207
t13,0.096,0.163,0.194,0.149,0.140,0.231,0.207
t14,0.032,0.030,0.145,0.195,0.216,0.230,0.207
t15,0.128,0.177,0.387,0.330,0.295,0.298,0.207
t16,0.016,0.059,0.109,0.195,0.309,0.236,0.207
t17,0.096,0.163,0.206,0.167,0.140,0.231,0.207
t18,0.080,0.118,0.169,0.214,0.203,0.338,0.207
t19,0.080,0.148,0.242,0.294,0.226,0.216,0.207
t20,0.000,0.000,0.000,0.111,0.114,0.192,0.207
t21,0.000,0.044,0.097,0.098,0.209,0.204,0.207
t22,0.096,0.133,0.230,0.204,0.235,0.325,0.207
t23,0.048,0.163,0.254,0.257,0.250,0.195,0.207
t24,0.032,0.044,0.121,0.139,0.209,0.158,0.207
t25,0.112,0.177,0.411,0.483,0.403,0.352,0.207
t26,0.032,0.222,0.339,0.362,0.254,0.306,0.207
t27,0.112,0.207,0.224,0.288,0.228,0.156,0.207
t28,0.048,0.118,0.206,0.186,0.133,0.265,0.207
t29,0.144,0.237,0.339,0.390,0.292,0.244,0.207
t30,0.048,0.089,0.145,0.111,0.382,0.240,0.207
t31,0.112,0.192,0.375,0.427,0.357,0.197,0.207
t32,0.064,0.104,0.327,0.413,0.435,0.242,0.207
t33,0.112,0.207,0.387,0.418,0.368,0.200,0.207
