format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.024,0.041,0.064,0.079,0.070,0.394,1.000
t02,0.000,0.039,0.078,0.091,0.867,1.081,1.000
t03,0.033,0.056,0.118,0.176,0.249,0.324,1.000
t04,0.000,0.003,0.039,0.131,0.268,0.481,1.000
t05,0.026,0.056,0.105,0.186,0.175,0.497,1.000
t06,0.000,0.000,0.090,0.165,0.278,0.364,1.000
t07,0.033,0.049,0.105,0.203,0.255,0.329,1.000
t08,0.033,0.052,0.101,0.142,0.227,0.352,1.000
t09,0.033,0.056,0.118,0.181,0.239,0.396,1.000
t10,0.000,0.000,0.044,0.098,0.180,0.368,1.000
t11,0.033,0.052,0.095,0.177,0.306,0.907,1.000
t12,0.003,0.010,0.105,0.163,0.214,0.303,1.000
t13,0.029,0.052,0.082,0.141,0.251,0.820,1.000
t14,0.033,0.056,0.108,0.173,0.260,0.592,1.000
t15,0.033,0.056,0.118,0.189,0.253,0.417,1.000
t16,0.007,0.016,0.046,0.129,0.192,0.297,1.000
t17,0.026,0.052,0.085,0.150,0.376,0.841,1.000
t18,0.033,0.052,0.101,0.147,0.311,0.575,1.000
t19,0.033,0.056,0.097,0.158,0.234,0.534,1.000
t20,0.000,0.011,0.036,0.075,0.240,0.718,1.000
t21,0.033,0.049,0.069,0.133,0.180,0.361,1.000
t22,0.033,0.052,0.095,0.144,0.281,0.981,1.000
t23,0.033,0.056,0.100,0.150,0.194,0.387,1.000
t24,0.033,0.059,0.085,0.128,0.172,0.361,1.000
t25,0.033,0.056,0.114,0.188,0.339,0.798,1.000
t26,0.033,0.049,0.105,0.134,0.173,0.694,1.000
t27,0.020,0.043,0.099,0.160,0.209,0.364,1.000
t28,0.007,0.046,0.121,0.157,0.281,0.383,1.000
t29,0.033,0.052,0.108,0.150,0.133,0.324,1.000
t30,0.020,0.049,0.088,0.157,0.249,0.362,1.000
t31,0.033,0.059,0.096,0.174,0.199,0.520,1.000
t32,0.023,0.049,0.108,0.173,0.251,0.366,1.000
t33,0.033,0.056,0.095,0.174,0.208,0.322,1.000
test,10,20,50,100,200,500,1000
t01,1.000,0.850,0.540,0.330,0.147,0.331,0.419
t02,0.000,0.150,0.120,0.070,0.335,0.167,0.077
t03,1.000,0.850,0.720,0.537,0.380,0.198,0.306
t04,0.000,0.050,0.240,0.400,0.410,0.294,0.306
t05,0.800,0.850,0.640,0.570,0.268,0.304,0.306
t06,0.000,0.000,0.550,0.505,0.425,0.222,0.306
t07,1.000,0.750,0.640,0.620,0.390,0.201,0.306
t08,1.000,0.800,0.620,0.435,0.347,0.215,0.306
t09,1.000,0.850,0.720,0.552,0.365,0.242,0.306
t10,0.000,0.000,0.270,0.300,0.275,0.225,0.306
t11,1.000,0.800,0.580,0.540,0.468,0.555,0.306
t12,0.100,0.150,0.640,0.500,0.328,0.185,0.306
t13,0.900,0.800,0.500,0.430,0.383,0.501,0.306
t14,1.000,0.850,0.660,0.530,0.398,0.362,0.306
t15,1.000,0.850,0.720,0.578,0.388,0.255,0.306
t16,0.200,0.250,0.280,0.395,0.293,0.182,0.306
t17,0.800,0.800,0.520,0.460,0.575,0.514,0.306
t18,1.000,0.800,0.620,0.450,0.475,0.352,0.306
t19,1.000,0.850,0.595,0.484,0.358,0.327,0.306
t20,0.000,0.175,0.220,0.230,0.367,0.439,0.306
t21,1.000,0.750,0.420,0.407,0.275,0.221,0.306
t22,1.000,0.800,0.580,0.440,0.430,0.600,0.306
t23,1.000,0.850,0.610,0.460,0.297,0.237,0.306
t24,1.000,0.900,0.520,0.390,0.263,0.221,0.306
t25,1.000,0.850,0.700,0.575,0.519,0.488,0.306
t26,1.000,0.750,0.640,0.410,0.265,0.424,0.306
t27,0.600,0.650,0.605,0.490,0.320,0.222,0.306
t28,0.200,0.700,0.740,0.480,0.430,0.234,0.306
t29,1.000,0.800,0.660,0.460,0.203,0.198,0.306
t30,0.600,0.750,0.540,0.480,0.380,0.221,0.306
t31,1.000,0.900,0.590,0.532,0.305,0.318,0.306
t32,0.700,0.750,0.660,0.530,0.384,0.224,0.306
