format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.000,0.056,0.100,0.159,0.209,0.714,1.000
t02,0.000,0.000,0.000,0.000,0.211,0.737,1.000
t03,0.000,0.056,0.125,0.175,0.226,0.733,1.000
t04,0.000,0.000,0.000,0.150,0.257,0.305,1.000
t05,0.000,0.000,0.144,0.180,0.439,0.666,1.000
t06,0.000,0.000,0.000,0.000,0.148,0.763,1.000
t07,0.025,0.075,0.226,0.313,0.426,0.533,1.000
t08,0.000,0.000,0.107,0.167,0.226,0.714,1.000
t09,0.000,0.056,0.125,0.175,0.226,0.727,1.000
t10,0.000,0.000,0.000,0.000,0.000,0.355,1.000
t11,0.031,0.056,0.125,0.180,0.288,0.865,1.000
t12,0.013,0.013,0.013,0.013,0.213,0.708,1.000
t13,0.000,0.063,0.119,0.180,0.470,0.568,1.000
t14,0.000,0.000,0.132,0.163,0.301,0.505,1.000
t15,0.000,0.056,0.125,0.175,0.420,0.739,1.000
t16,0.013,0.013,0.013,0.013,0.226,0.714,1.000
t17,0.000,0.056,0.132,0.192,0.470,0.763,1.000
t18,0.000,0.069,0.113,0.207,0.451,0.704,1.000
t19,0.000,0.000,0.113,0.142,0.221,0.602,1.000
t20,0.000,0.000,0.000,0.000,0.163,0.228,1.000
t21,0.000,0.056,0.100,0.121,0.267,0.764,1.000
t22,0.000,0.056,0.092,0.167,0.514,0.871,1.000
t23,0.000,0.000,0.119,0.188,0.217,0.581,1.000
t24,0.000,0.069,0.125,0.207,0.263,0.602,1.000
t25,0.000,0.000,0.138,0.138,0.217,0.887,1.000
t26,0.063,0.100,0.213,0.263,0.217,0.669,1.000
t27,0.000,0.000,0.000,0.000,0.259,0.698,1.000
t28,0.000,0.000,0.000,0.000,0.175,0.746,1.000
t29,0.019,0.038,0.063,0.094,0.201,0.677,1.000
t30,0.000,0.000,0.000,0.138,0.226,0.721,1.000
t31,0.000,0.056,0.125,0.175,0.246,0.647,1.000
t32,0.000,0.000,0.107,0.226,0.238,0.714,1.000
t33,0.000,0.056,0.125,0.175,0.226,0.727,1.000
test,10,20,50,100,200,500,1000
t01,0.000,0.225,0.160,0.127,0.083,0.114,0.080
t02,0.000,0.000,0.000,0.000,0.020,0.028,0.019
t03,0.000,0.225,0.200,0.140,0.090,0.117,0.080
t04,0.000,0.000,0.000,0.120,0.102,0.049,0.080
t05,0.000,0.000,0.230,0.143,0.175,0.106,0.080
t06,0.000,0.000,0.000,0.000,0.059,0.122,0.080
t07,0.200,0.300,0.360,0.250,0.170,0.085,0.080
t08,0.000,0.000,0.170,0.133,0.090,0.114,0.080
t09,0.000,0.225,0.200,0.140,0.090,0.116,0.080
t10,0.000,0.000,0.000,0.000,0.000,0.057,0.080
t11,0.250,0.225,0.200,0.143,0.115,0.138,0.080
t12,0.100,0.050,0.020,0.010,0.085,0.113,0.080
t13,0.000,0.250,0.190,0.143,0.188,0.091,0.080
t14,0.000,0.000,0.210,0.130,0.120,0.081,0.080
t15,0.000,0.225,0.200,0.140,0.168,0.118,0.080
t16,0.100,0.050,0.020,0.010,0.090,0.114,0.080
t17,0.000,0.225,0.210,0.153,0.188,0.122,0.080
t18,0.000,0.275,0.180,0.165,0.180,0.112,0.080
t19,0.000,0.000,0.180,0.113,0.088,0.096,0.080
t20,0.000,0.000,0.000,0.000,0.065,0.036,0.080
t21,0.000,0.225,0.160,0.097,0.107,0.122,0.080
t22,0.000,0.225,0.147,0.133,0.205,0.139,0.080
t23,0.000,0.000,0.190,0.150,0.087,0.093,0.080
t24,0.000,0.275,0.200,0.165,0.105,0.096,0.080
t25,0.000,0.000,0.220,0.110,0.087,0.142,0.080
t26,0.500,0.400,0.340,0.210,0.087,0.107,0.080
t27,0.000,0.000,0.000,0.000,0.103,0.111,0.080
t28,0.000,0.000,0.000,0.000,0.070,0.119,0.080
t29,0.150,0.150,0.100,0.075,0.080,0.108,0.080
t30,0.000,0.000,0.000,0.110,0.090,0.115,0.080
t31,0.000,0.225,0.200,0.140,0.098,0.103,0.080
