format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.039,0.078,0.784,0.902,0.980,0.928,1.000
t02,0.005,0.008,0.062,0.119,0.231,0.497,1.000
t03,0.007,0.014,0.282,0.612,0.997,1.059,1.000
t04,0.007,0.083,0.213,0.392,0.750,0.978,1.000
t05,0.000,0.096,0.144,0.151,0.193,0.763,1.000
t06,0.000,0.000,0.138,0.158,0.358,1.025,1.000
t07,0.007,0.096,0.282,0.612,0.990,0.972,1.000
t08,0.069,0.138,0.172,0.481,0.990,1.059,1.000
t09,0.007,0.014,0.275,0.612,0.983,1.059,1.000
t10,0.014,0.076,0.172,0.605,0.846,0.971,1.000
t11,0.007,0.014,0.275,0.598,0.990,1.018,1.000
t12,0.021,0.048,0.199,0.584,0.990,1.100,1.000
t13,0.007,0.014,0.282,0.433,0.447,0.424,1.000
t14,0.007,0.014,0.282,0.591,0.997,1.031,1.000
t15,0.007,0.014,0.282,0.605,0.997,1.038,1.000
t16,0.069,0.138,0.323,0.399,1.004,1.086,1.000
t17,0.007,0.014,0.227,0.248,0.254,0.280,1.000
t18,0.007,0.014,0.296,0.591,0.990,1.011,1.000
t19,0.007,0.014,0.275,0.619,0.990,0.975,1.000
t20,0.014,0.014,0.254,0.523,0.791,0.889,1.000
t21,0.007,0.096,0.275,0.550,0.770,1.045,1.000
t22,0.007,0.014,0.282,0.598,0.990,1.031,1.000
t23,0.007,0.014,0.282,0.619,0.990,0.924,1.000
t24,0.007,0.014,0.282,0.612,0.990,0.921,1.000
t25,0.007,0.096,0.282,0.619,1.004,1.038,1.000
t26,0.000,0.096,0.289,0.502,0.818,1.080,1.000
t27,0.014,0.096,0.289,0.605,0.805,0.854,1.000
t28,0.007,0.014,0.282,0.605,0.729,1.073,1.000
t29,0.034,0.096,0.289,0.598,0.887,1.038,1.000
t30,0.007,0.014,0.296,0.619,0.935,1.086,1.000
t31,0.007,0.007,0.282,0.598,0.887,0.976,1.000
t32,0.007,0.014,0.275,0.612,0.997,1.059,1.000
t33,0.007,0.014,0.289,0.619,0.935,0.990,1.000
test,10,20,50,100,200,500,1000
t01,0.100,0.100,0.400,0.230,0.125,0.047,0.025
