format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.000,0.000,0.014,0.382,0.938,1.000
t02,0.004,0.021,0.047,0.104,0.174,0.469,1.000
t03,0.000,0.000,0.014,0.382,0.972,1.000
t04,0.021,0.056,0.174,0.486,0.951,1.000
t05,0.000,0.000,0.139,0.396,0.917,1.000
t06,0.000,0.000,0.125,0.382,0.965,1.000
t07,0.000,0.007,0.118,0.396,0.924,1.000
t08,0.056,0.125,0.160,0.174,0.917,1.000
t09,0.000,0.000,0.014,0.389,0.903,1.000
t10,0.014,0.056,0.174,0.368,0.944,1.000
t11,0.000,0.000,0.014,0.382,0.938,1.000
t12,0.028,0.076,0.215,0.354,0.910,1.000
t13,0.000,0.000,0.014,0.382,0.903,1.000
t14,0.000,0.000,0.014,0.361,0.951,1.000
t15,0.000,0.000,0.014,0.361,0.965,1.000
t16,0.069,0.139,0.319,0.597,0.917,1.000
t17,0.000,0.000,0.014,0.312,0.903,1.000
t18,0.000,0.000,0.000,0.375,0.910,1.000
t19,0.000,0.000,0.014,0.382,0.944,1.000
t20,0.000,0.000,0.049,0.236,0.917,1.000
t21,0.000,0.000,0.153,0.403,0.924,1.000
t22,0.000,0.000,0.014,0.368,0.924,1.000
t23,0.000,0.000,0.014,0.368,0.965,1.000
t24,0.000,0.000,0.014,0.326,0.951,1.000
t25,0.000,0.000,0.014,0.368,0.958,1.000
t26,0.000,0.000,0.174,0.417,0.917,1.000
t27,0.000,0.000,0.014,0.396,0.972,1.000
t28,0.007,0.014,0.174,0.375,0.965,1.000
t29,0.000,0.000,0.139,0.431,0.917,1.000
t30,0.007,0.007,0.188,0.389,0.965,1.000
t31,0.000,0.000,0.007,0.347,0.903,1.000
t32,0.000,0.000,0.028,0.375,0.965,1.000
t33,0.000,0.000,0.014,0.368,0.910,1.000
test,10,20,50,100,200,500,1000
t01,0.000,0.000,0.040,0.550,0.675,0.673
t02,0.300,0.750,0.660,0.730,0.610,0.659,0.702
t03,0.000,0.000,0.040,0.550,0.700,0.673
t04,0.300,0.400,0.500,0.700,0.685,0.673
t05,0.000,0.000,0.400,0.570,0.660,0.673
t06,0.000,0.000,0.360,0.550,0.695,0.673
t07,0.000,0.050,0.340,0.570,0.665,0.673
t08,0.800,0.900,0.460,0.250,0.660,0.673
t09,0.000,0.000,0.040,0.560,0.650,0.673
t10,0.200,0.400,0.500,0.530,0.680,0.673
t11,0.000,0.000,0.040,0.550,0.675,0.673
t12,0.400,0.550,0.620,0.510,0.655,0.673
t13,0.000,0.000,0.040,0.550,0.650,0.673
t14,0.000,0.000,0.040,0.520,0.685,0.673
t15,0.000,0.000,0.040,0.520,0.695,0.673
t16,1.000,1.000,0.920,0.860,0.660,0.673
t17,0.000,0.000,0.040,0.450,0.650,0.673
t18,0.000,0.000,0.000,0.540,0.655,0.673
t19,0.000,0.000,0.040,0.550,0.680,0.673
t20,0.000,0.000,0.140,0.340,0.660,0.673
t21,0.000,0.000,0.440,0.580,0.665,0.673
t22,0.000,0.000,0.040,0.530,0.665,0.673
t23,0.000,0.000,0.040,0.530,0.695,0.673
t24,0.000,0.000,0.040,0.470,0.685,0.673
t25,0.000,0.000,0.040,0.530,0.690,0.673
t26,0.000,0.000,0.500,0.600,0.660,0.673
t27,0.000,0.000,0.040,0.570,0.700,0.673
t28,0.100,0.100,0.500,0.540,0.695,0.673
t29,0.000,0.000,0.400,0.620,0.660,0.673
t30,0.100,0.050,0.540,0.560,0.695,0.673
t31,0.000,0.000,0.020,0.500,0.650,0.673
t32,0.000,0.000,0.080,0.540,0.695,0.673
t33,0.000,0.000,0.040,0.530,0.655,0.673
test,10,20,50,100,200,500,1000
t01,0.000,0.000,0.021,0.451,0.785,0.804
t02,0.008,0.042,0.088,0.182,0.271,0.548,0.825
t03,0.000,0.000,0.021,0.451,0.814,0.804
t04,0.039,0.098,0.258,0.574,0.797,0.804
t05,0.000,0.000,0.206,0.467,0.767,0.804
t06,0.000,0.000,0.186,0.451,0.808,0.804
t07,0.000,0.012,0.175,0.467,0.773,0.804
t08,0.104,0.220,0.237,0.205,0.767,0.804
t09,0.000,0.000,0.021,0.459,0.756,0.804
t10,0.026,0.098,0.258,0.434,0.791,0.804
t11,0.000,0.000,0.021,0.451,0.785,0.804
t12,0.052,0.134,0.320,0.418,0.762,0.804
t13,0.000,0.000,0.021,0.451,0.756,0.804
t14,0.000,0.000,0.021,0.426,0.797,0.804
t15,0.000,0.000,0.021,0.426,0.808,0.804
t16,0.130,0.244,0.474,0.705,0.767,0.804
t17,0.000,0.000,0.021,0.369,0.756,0.804
t18,0.000,0.000,0.000,0.443,0.762,0.804
t19,0.000,0.000,0.021,0.451,0.791,0.804
t20,0.000,0.000,0.072,0.279,0.767,0.804
t21,0.000,0.000,0.227,0.475,0.773,0.804
t22,0.000,0.000,0.021,0.434,0.773,0.804
t23,0.000,0.000,0.021,0.434,0.808,0.804
t24,0.000,0.000,0.021,0.385,0.797,0.804
t25,0.000,0.000,0.021,0.434,0.802,0.804
t26,0.000,0.000,0.258,0.492,0.767,0.804
t27,0.000,0.000,0.021,0.467,0.814,0.804
t28,0.013,0.024,0.258,0.443,0.808,0.804
t29,0.000,0.000,0.206,0.508,0.767,0.804
t30,0.013,0.012,0.278,0.459,0.808,0.804
t31,0.000,0.000,0.010,0.410,0.756,0.804
t32,0.000,0.000,0.041,0.443,0.808,0.804
t33,0.000,0.000,0.021,0.434,0.762,0.804
