format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.008,0.015,0.015,0.015,0.015,0.135,1.000
t02,0.010,0.013,0.056,0.122,0.258,0.647,1.000
t03,0.008,0.015,0.015,0.015,0.015,0.218,1.000
t04,0.015,0.023,0.046,0.108,0.356,0.526,1.000
t05,0.000,0.000,0.000,0.077,0.085,0.362,1.000
t06,0.000,0.000,0.000,0.093,0.162,0.143,1.000
t07,0.008,0.015,0.015,0.015,0.070,0.753,1.000
t08,0.070,0.147,0.186,0.193,0.193,0.332,1.000
t09,0.008,0.015,0.015,0.015,0.015,0.218,1.000
t10,0.023,0.062,0.062,0.116,0.500,0.683,1.000
t11,0.000,0.015,0.015,0.015,0.178,0.143,1.000
t12,0.008,0.039,0.178,0.263,0.448,0.928,1.000
t13,0.015,0.015,0.015,0.015,0.144,0.135,1.000
t14,0.008,0.015,0.015,0.015,0.149,0.268,1.000
t15,0.008,0.015,0.015,0.015,0.015,0.170,1.000
t16,0.070,0.124,0.332,0.425,0.781,0.869,1.000
t17,0.008,0.008,0.015,0.015,0.139,0.124,1.000
t18,0.000,0.000,0.015,0.178,0.186,0.186,1.000
t19,0.008,0.015,0.015,0.015,0.015,0.258,1.000
t20,0.000,0.000,0.000,0.000,0.031,0.506,1.000
t21,0.000,0.000,0.008,0.015,0.124,0.438,1.000
t22,0.000,0.008,0.015,0.178,0.186,0.165,1.000
t23,0.008,0.015,0.015,0.015,0.015,0.268,1.000
t24,0.000,0.015,0.015,0.015,0.015,0.170,1.000
t25,0.008,0.015,0.015,0.015,0.113,0.240,1.000
t26,0.000,0.000,0.000,0.093,0.479,0.467,1.000
t27,0.008,0.015,0.015,0.015,0.101,0.232,1.000
t28,0.015,0.015,0.015,0.015,0.247,0.325,1.000
t29,0.000,0.000,0.000,0.062,0.162,0.843,1.000
t30,0.008,0.008,0.193,0.255,0.263,0.325,1.000
t31,0.008,0.008,0.008,0.008,0.137,0.166,1.000
t32,0.000,0.015,0.031,0.031,0.031,0.205,1.000
t33,0.008,0.015,0.015,0.015,0.015,0.218,1.000
test,10,20,50,100,200,500,1000
t01,0.100,0.100,0.040,0.020,0.010,0.035,0.139
t02,0.500,0.350,0.593,0.640,0.679,0.680,0.526
t03,0.100,0.100,0.040,0.020,0.010,0.056,0.139
t04,0.200,0.150,0.120,0.140,0.230,0.136,0.139
t05,0.000,0.000,0.000,0.100,0.055,0.094,0.139
t06,0.000,0.000,0.000,0.120,0.105,0.037,0.139
t07,0.100,0.100,0.040,0.020,0.045,0.195,0.139
t08,0.900,0.950,0.480,0.250,0.125,0.086,0.139
t09,0.100,0.100,0.040,0.020,0.010,0.056,0.139
t10,0.300,0.400,0.160,0.150,0.323,0.177,0.139
t11,0.000,0.100,0.040,0.020,0.115,0.037,0.139
t12,0.100,0.250,0.460,0.340,0.290,0.240,0.139
t13,0.200,0.100,0.040,0.020,0.093,0.035,0.139
t14,0.100,0.100,0.040,0.020,0.097,0.069,0.139
t15,0.100,0.100,0.040,0.020,0.010,0.044,0.139
t16,0.900,0.800,0.860,0.550,0.505,0.225,0.139
t17,0.100,0.050,0.040,0.020,0.090,0.032,0.139
t18,0.000,0.000,0.040,0.230,0.120,0.048,0.139
t19,0.100,0.100,0.040,0.020,0.010,0.067,0.139
t20,0.000,0.000,0.000,0.000,0.020,0.131,0.139
t21,0.000,0.000,0.020,0.020,0.080,0.113,0.139
t22,0.000,0.050,0.040,0.230,0.120,0.043,0.139
t23,0.100,0.100,0.040,0.020,0.010,0.069,0.139
t24,0.000,0.100,0.040,0.020,0.010,0.044,0.139
t25,0.100,0.100,0.040,0.020,0.073,0.062,0.139
t26,0.000,0.000,0.000,0.120,0.310,0.121,0.139
t27,0.100,0.100,0.040,0.020,0.065,0.060,0.139
t28,0.200,0.100,0.040,0.020,0.160,0.084,0.139
t29,0.000,0.000,0.000,0.080,0.105,0.218,0.139
t30,0.100,0.050,0.500,0.330,0.170,0.084,0.139
t31,0.100,0.050,0.020,0.010,0.088,0.043,0.139
t32,0.000,0.100,0.080,0.040,0.020,0.053,0.139
t33,0.100,0.100,0.040,0.020,0.010,0.056,0.139
test,10,20,50,100,200,500,1000
t01,0.014,0.027,0.022,0.017,0.012,0.056,0.244
t02,0.019,0.026,0.103,0.205,0.374,0.663,0.689
t03,0.014,0.027,0.022,0.017,0.012,0.090,0.244
t04,0.029,0.040,0.067,0.122,0.279,0.216,0.244
t05,0.000,0.000,0.000,0.087,0.067,0.149,0.244
t06,0.000,0.000,0.000,0.105,0.128,0.059,0.244
t07,0.014,0.027,0.022,0.017,0.055,0.310,0.244
t08,0.129,0.254,0.268,0.218,0.152,0.137,0.244
t09,0.014,0.027,0.022,0.017,0.012,0.090,0.244
t10,0.043,0.107,0.089,0.131,0.393,0.281,0.244
t11,0.000,0.027,0.022,0.017,0.140,0.059,0.244
t12,0.014,0.067,0.257,0.297,0.352,0.381,0.244
t13,0.029,0.027,0.022,0.017,0.113,0.056,0.244
t14,0.014,0.027,0.022,0.017,0.117,0.110,0.244
t15,0.014,0.027,0.022,0.017,0.012,0.070,0.244
t16,0.129,0.214,0.480,0.480,0.613,0.357,0.244
t17,0.014,0.013,0.022,0.017,0.109,0.051,0.244
t18,0.000,0.000,0.022,0.201,0.146,0.076,0.244
t19,0.014,0.027,0.022,0.017,0.012,0.106,0.244
t20,0.000,0.000,0.000,0.000,0.024,0.208,0.244
t21,0.000,0.000,0.011,0.017,0.097,0.180,0.244
t22,0.000,0.013,0.022,0.201,0.146,0.068,0.244
t23,0.014,0.027,0.022,0.017,0.012,0.110,0.244
t24,0.000,0.027,0.022,0.017,0.012,0.070,0.244
t25,0.014,0.027,0.022,0.017,0.089,0.099,0.244
t26,0.000,0.000,0.000,0.105,0.377,0.192,0.244
t27,0.014,0.027,0.022,0.017,0.079,0.095,0.244
t28,0.029,0.027,0.022,0.017,0.194,0.133,0.244
t29,0.000,0.000,0.000,0.070,0.128,0.346,0.244
t30,0.014,0.013,0.279,0.288,0.206,0.133,0.244
