format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.020,0.030,0.036,0.044,0.055,0.811,1.000
t02,0.004,0.026,0.056,0.108,0.262,0.578,1.000
t03,0.020,0.030,0.036,0.046,0.059,0.852,1.000
t04,0.008,0.016,0.028,0.061,0.147,0.866,1.000
t05,0.020,0.020,0.024,0.034,0.050,0.826,1.000
t06,0.016,0.022,0.030,0.036,0.053,0.852,1.000
t07,0.010,0.028,0.042,0.053,0.093,0.820,1.000
t08,0.000,0.000,0.040,0.083,0.101,0.854,1.000
t09,0.020,0.030,0.036,0.046,0.063,0.839,1.000
t10,0.014,0.030,0.057,0.095,0.218,0.824,1.000
t11,0.020,0.030,0.036,0.048,0.059,0.817,1.000
t12,0.008,0.038,0.081,0.141,0.203,0.840,1.000
t13,0.020,0.030,0.036,0.044,0.055,0.809,1.000
t14,0.020,0.030,0.036,0.048,0.063,0.858,1.000
t15,0.020,0.030,0.036,0.048,0.059,0.854,1.000
t16,0.020,0.040,0.089,0.156,0.258,0.839,1.000
t17,0.020,0.030,0.036,0.040,0.053,0.805,1.000
t18,0.020,0.030,0.034,0.038,0.057,0.860,1.000
t19,0.020,0.030,0.040,0.050,0.059,0.854,1.000
t20,0.020,0.030,0.036,0.059,0.125,0.270,1.000
t21,0.012,0.028,0.032,0.042,0.087,0.828,1.000
t22,0.020,0.030,0.036,0.040,0.059,0.856,1.000
t23,0.020,0.030,0.040,0.052,0.059,0.854,1.000
t24,0.020,0.030,0.038,0.044,0.059,0.858,1.000
t25,0.020,0.030,0.036,0.048,0.059,0.858,1.000
t26,0.012,0.028,0.036,0.044,0.153,0.860,1.000
t27,0.020,0.030,0.038,0.044,0.053,0.821,1.000
t28,0.016,0.030,0.040,0.069,0.145,0.856,1.000
t29,0.012,0.030,0.040,0.052,0.325,0.820,1.000
t30,0.020,0.032,0.044,0.079,0.345,0.854,1.000
t31,0.020,0.030,0.034,0.042,0.057,0.806,1.000
t32,0.020,0.030,0.040,0.050,0.063,0.814,1.000
t33,0.020,0.030,0.036,0.044,0.055,0.852,1.000
test,10,20,50,100,200,500,1000
t01,1.000,0.750,0.360,0.220,0.140,0.819,0.841
t02,0.300,0.900,0.780,0.760,0.916,0.810,0.701
t03,1.000,0.750,0.360,0.230,0.150,0.860,0.841
t04,0.400,0.400,0.280,0.310,0.370,0.874,0.841
t05,1.000,0.500,0.240,0.170,0.125,0.834,0.841
t06,0.800,0.550,0.300,0.180,0.135,0.860,0.841
t07,0.500,0.700,0.420,0.270,0.235,0.828,0.841
t08,0.000,0.000,0.400,0.420,0.255,0.862,0.841
t09,1.000,0.750,0.360,0.230,0.160,0.848,0.841
t10,0.700,0.750,0.580,0.480,0.550,0.832,0.841
t11,1.000,0.750,0.360,0.240,0.150,0.825,0.841
t12,0.400,0.950,0.820,0.710,0.511,0.848,0.841
