format: recall, precision, f1
test,10,20,50,100,200,500,1000
t01,0.124,0.340,0.918,1.000
t02,0.000,0.007,0.051,0.165,0.343,0.807,1.000
t03,0.165,0.371,0.990,1.000
t04,0.124,0.309,0.969,1.000
t05,0.103,0.330,0.897,1.000
t06,0.165,0.371,0.990,1.000
t07,0.165,0.371,0.990,1.000
t08,0.206,0.412,0.969,1.000
t09,0.165,0.371,0.897,1.000
t10,0.165,0.330,0.918,1.000
t11,0.165,0.371,0.969,1.000
t12,0.186,0.371,1.010,1.000
t13,0.103,0.227,0.897,1.000
t14,0.186,0.371,0.969,1.000
t15,0.165,0.371,0.990,1.000
t16,0.206,0.412,0.938,1.000
t17,0.165,0.289,0.897,1.000
t18,0.186,0.392,0.990,1.000
t19,0.165,0.371,0.990,1.000
t20,0.124,0.330,0.887,1.000
t21,0.186,0.392,0.918,1.000
t22,0.186,0.371,0.897,1.000
t23,0.165,0.371,0.990,1.000
t24,0.165,0.371,0.918,1.000
t25,0.186,0.392,0.990,1.000
t26,0.186,0.340,0.918,1.000
t27,0.103,0.309,0.969,1.000
t28,0.165,0.371,0.990,1.000
t29,0.082,0.289,0.907,1.000
t30,0.165,0.371,0.990,1.000
t31,0.103,0.309,0.907,1.000
t32,0.165,0.371,0.990,1.000
t33,0.165,0.371,0.990,1.000
test,10,20,50,100,200,500,1000
t01,0.600,0.825,0.890,0.882
t02,0.000,0.150,0.410,0.660,0.686,0.646,0.639
t03,0.800,0.900,0.960,0.882
t04,0.600,0.750,0.940,0.882
t05,0.500,0.800,0.870,0.882
t06,0.800,0.900,0.960,0.882
t07,0.800,0.900,0.960,0.882
t08,1.000,1.000,0.940,0.882
t09,0.800,0.900,0.870,0.882
t10,0.800,0.800,0.890,0.882
t11,0.800,0.900,0.940,0.882
t12,0.900,0.900,0.980,0.882
t13,0.500,0.550,0.870,0.882
t14,0.900,0.900,0.940,0.882
t15,0.800,0.900,0.960,0.882
t16,1.000,1.000,0.910,0.882
t17,0.800,0.700,0.870,0.882
t18,0.900,0.950,0.960,0.882
t19,0.800,0.900,0.960,0.882
t20,0.600,0.800,0.860,0.882
t21,0.900,0.950,0.890,0.882
t22,0.900,0.900,0.870,0.882
t23,0.800,0.900,0.960,0.882
t24,0.800,0.900,0.890,0.882
t25,0.900,0.950,0.960,0.882
t26,0.900,0.825,0.890,0.882
t27,0.500,0.750,0.940,0.882
t28,0.800,0.900,0.960,0.882
t29,0.400,0.700,0.880,0.882
t30,0.800,0.900,0.960,0.882
t31,0.500,0.750,0.880,0.882
t32,0.800,0.900,0.960,0.882
t33,0.800,0.900,0.960,0.882
test,10,20,50,100,200,500,1000
t01,0.205,0.482,0.904,0.937
t02,0.000,0.014,0.091,0.264,0.457,0.717,0.780
t03,0.274,0.526,0.975,0.937
t04,0.205,0.438,0.954,0.937
t05,0.171,0.467,0.883,0.937
t06,0.274,0.526,0.975,0.937
t07,0.274,0.526,0.975,0.937
t08,0.342,0.584,0.954,0.937
t09,0.274,0.526,0.883,0.937
t10,0.274,0.467,0.904,0.937
t11,0.274,0.526,0.954,0.937
t12,0.308,0.526,0.995,0.937
t13,0.171,0.321,0.883,0.937
t14,0.308,0.526,0.954,0.937
t15,0.274,0.526,0.975,0.937
t16,0.342,0.584,0.924,0.937
t17,0.274,0.409,0.883,0.937
t18,0.308,0.555,0.975,0.937
t19,0.274,0.526,0.975,0.937
t20,0.205,0.467,0.873,0.937
t21,0.308,0.555,0.904,0.937
t22,0.308,0.526,0.883,0.937
t23,0.274,0.526,0.975,0.937
t24,0.274,0.526,0.904,0.937
t25,0.308,0.555,0.975,0.937
t26,0.308,0.482,0.904,0.937
t27,0.171,0.438,0.954,0.937
t28,0.274,0.526,0.975,0.937
t29,0.137,0.409,0.893,0.937
t30,0.274,0.526,0.975,0.937
t31,0.171,0.438,0.893,0.937
t32,0.274,0.526,0.975,0.937
t33,0.274,0.526,0.975,0.937
