test,a,b,c,d
1,0.6020000000000001,0.436,0.277,0.332
2,1.199,1.541,1.721,1.8880000000000001
3,0.6020000000000001,0.797,0.549,0.524
4,0.279,0.31,0.248,0.373
5,0.0,0.139,0.134,0.16699999999999998
6,0.12000000000000001,0.208,0.134,0.29300000000000004
7,0.6399999999999999,0.728,0.7140000000000001,0.57
8,0.0,0.139,0.403,0.9
9,0.723,0.728,0.473,0.501
10,0.361,0.487,0.45599999999999996,0.541
11,0.6020000000000001,0.589,0.549,0.453
12,0.0,0.0,0.134,0.63
13,0.48100000000000004,0.519,0.323,0.287
14,0.48100000000000004,0.658,0.7040000000000001,1.068
15,0.6020000000000001,0.728,0.549,0.524
16,0.0,0.0,0.188,0.404
17,0.48100000000000004,0.45,0.37500000000000006,0.261
18,0.6020000000000001,0.728,0.5700000000000001,0.41000000000000003
19,0.6020000000000001,0.658,0.639,0.552
20,0.0,1.4949999999999999,1.0510000000000002,0.816
21,0.6020000000000001,0.723,0.833,0.8940000000000001
22,0.48100000000000004,0.626,0.549,0.41000000000000003
23,0.6020000000000001,0.658,0.66,0.552
24,0.6020000000000001,0.797,0.549,0.524
25,0.6020000000000001,0.589,0.5700000000000001,0.538
26,0.48100000000000004,0.418,0.40299999999999997,0.4590000000000001
27,0.48100000000000004,0.589,0.488,0.37900000000000006
28,0.48100000000000004,0.418,0.338,0.43300000000000005
29,0.519,0.589,0.515,0.5750000000000001
30,0.48100000000000004,0.45,1.3039999999999998,1.9709999999999999
31,0.6020000000000001,0.658,0.473,0.487
32,0.361,0.589,1.698,1.8099999999999998
33,0.6020000000000001,0.797,0.511,0.499
