test,a,b,c,d
0,10.0,20.0,50.0,100.0
1,0.0,0.05,0.02,0.01
2,0.9,0.7,0.384,0.335
3,0.0,0.05,0.02,0.02
4,0.1,0.05,0.02,0.03
5,0.0,0.0,0.02,0.01
6,0.0,0.0,0.02,0.01
7,0.1,0.05,0.04,0.07
8,0.0,0.0,0.06,0.04
9,0.0,0.05,0.02,0.04
10,0.0,0.0,0.04,0.05
11,0.0,0.05,0.02,0.02
12,0.0,0.0,0.02,0.05
13,0.0,0.05,0.02,0.01
14,0.0,0.05,0.08,0.06
15,0.0,0.05,0.02,0.02
16,0.0,0.0,0.0,0.07
17,0.0,0.05,0.02,0.01
18,0.0,0.05,0.04,0.02
19,0.0,0.05,0.02,0.04
20,0.0,0.15,0.14,0.07
21,0.0,0.15,0.08,0.12
22,0.0,0.0,0.02,0.02
23,0.0,0.05,0.04,0.04
24,0.0,0.05,0.02,0.02
25,0.0,0.05,0.04,0.03
26,0.0,0.0,0.08,0.06
27,0.0,0.05,0.02,0.04
28,0.0,0.0,0.02,0.06
29,0.1,0.05,0.08,0.07
30,0.0,0.05,0.2,0.1
31,0.0,0.05,0.02,0.03
32,0.0,0.05,0.08,0.04
33,0.0,0.05,0.02,0.02
