test,a,b,c,d
1,0.0,0.011,0.011,0.011
2,0.162,0.252,0.345,0.603
3,0.0,0.024,0.024,0.048
4,0.024,0.024,0.024,0.071
5,0.0,0.0,0.024,0.024
6,0.0,0.0,0.024,0.024
7,0.024,0.024,0.048,0.167
8,0.0,0.0,0.071,0.095
9,0.0,0.024,0.024,0.095
10,0.0,0.0,0.048,0.119
11,0.0,0.024,0.024,0.048
12,0.0,0.0,0.024,0.119
13,0.0,0.024,0.024,0.024
14,0.0,0.024,0.095,0.143
15,0.0,0.024,0.024,0.048
16,0.0,0.0,0.0,0.167
17,0.0,0.024,0.024,0.024
18,0.0,0.024,0.048,0.048
19,0.0,0.024,0.024,0.095
20,0.0,0.071,0.167,0.167
21,0.0,0.071,0.095,0.286
22,0.0,0.0,0.024,0.048
23,0.0,0.024,0.048,0.095
24,0.0,0.024,0.024,0.048
25,0.0,0.024,0.048,0.071
26,0.0,0.0,0.095,0.143
27,0.0,0.024,0.024,0.095
28,0.0,0.0,0.024,0.143
29,0.024,0.024,0.095,0.167
30,0.0,0.024,0.238,0.238
31,0.0,0.024,0.024,0.071
32,0.0,0.024,0.095,0.095
33,0.0,0.024,0.024,0.048
