test,a,b,c,d
1,0.1,0.1,0.4,0.23
2,0.4,0.3,0.94,0.9
3,0.1,0.1,0.82,0.89
4,0.1,0.6,0.62,0.57
5,0.0,0.7,0.42,0.22
6,0.0,0.0,0.4,0.23
7,0.1,0.7,0.82,0.89
8,1.0,1.0,0.5,0.7
9,0.1,0.1,0.8,0.89
10,0.2,0.55,0.5,0.88
11,0.1,0.1,0.8,0.87
12,0.3,0.35,0.58,0.85
13,0.1,0.1,0.82,0.63
14,0.1,0.1,0.82,0.86
15,0.1,0.1,0.82,0.88
16,1.0,1.0,0.94,0.58
17,0.1,0.1,0.66,0.36
18,0.1,0.1,0.86,0.86
19,0.1,0.1,0.8,0.9
20,0.2,0.1,0.74,0.76
21,0.1,0.7,0.8,0.8
22,0.1,0.1,0.82,0.87
23,0.1,0.1,0.82,0.9
24,0.1,0.1,0.82,0.89
25,0.1,0.7,0.82,0.9
26,0.0,0.7,0.84,0.73
27,0.2,0.7,0.84,0.88
28,0.1,0.1,0.82,0.88
29,0.5,0.7,0.84,0.87
30,0.1,0.1,0.86,0.9
31,0.1,0.05,0.82,0.87
32,0.1,0.1,0.8,0.89
33,0.1,0.1,0.84,0.9
